rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/fps,train/learning_rate,train/loss,train/n_updates
0.75,11.5,4,0,46,0.9542311557788944,512,,,
0.5,9.625,8,0,77,0.9233869346733669,520,,,
0.4166666666666667,8.916666666666666,12,0,107,0.893537688442211,415,0.00025,0.04850507527589798,1
0.3125,7.9375,16,0,127,0.8736381909547739,284,0.00025,0.03576253354549408,6
0.25,7.35,20,0,147,0.8537386934673367,231,0.00025,0.008321116678416729,11
0.2916666666666667,7.708333333333333,24,0,185,0.815929648241206,190,0.00025,0.015615197829902172,21
0.25,7.25,28,1,203,0.7980201005025125,180,0.00025,0.03729580342769623,25
0.21875,6.96875,32,1,223,0.7781206030150754,170,0.00025,0.0154487956315279,30
0.3611111111111111,8.38888888888889,36,1,302,0.6995175879396984,152,0.00025,0.015577075071632862,50
0.4,8.8,40,2,352,0.6497688442211056,146,0.00025,0.01547170802950859,62
0.4090909090909091,8.977272727272727,44,2,395,0.6069849246231156,141,0.00025,0.022178249433636665,73
0.4166666666666667,9.125,48,3,438,0.5642010050251256,138,0.00025,0.02258453331887722,84
0.40384615384615385,9.01923076923077,52,3,469,0.5333567839195981,135,0.00025,0.01561726164072752,92
0.375,8.732142857142858,56,3,489,0.5134572864321608,134,0.00025,0.031212903559207916,97
0.43333333333333335,9.316666666666666,60,4,559,0.4438090452261306,131,0.00025,0.03078063204884529,114
0.4375,9.328125,64,4,597,0.406,129,0.00025,0.008051827549934387,124
0.4264705882352941,9.176470588235293,68,4,624,0.37913567839195983,129,0.00025,0.00808587297797203,130
0.4444444444444444,9.319444444444445,72,5,671,0.3323718592964824,127,0.00025,0.015417453832924366,142
0.4473684210526316,9.328947368421053,76,5,709,0.2945628140703518,125,0.00025,0.043991148471832275,152
0.45,9.4125,80,6,753,0.25078391959798996,124,0.00025,0.007774454075843096,163
0.42857142857142855,9.202380952380953,84,6,773,0.2308844221105527,123,0.00025,0.035944536328315735,168
0.4090909090909091,9.011363636363637,88,6,793,0.21098492462311558,123,0.00025,0.009209227748215199,173
0.41304347826086957,9.032608695652174,92,6,831,0.17317587939698498,122,0.00025,0.0219421349465847,182
0.3958333333333333,8.864583333333334,96,6,851,0.15327638190954773,121,0.00025,0.021848643198609352,187
0.38,8.71,100,7,871,0.1333768844221106,121,0.00025,0.0018715772312134504,192
0.37,8.61,104,7,907,0.09755778894472356,120,0.00025,0.015388148836791515,201
0.38,8.68,108,7,945,0.059748743718592956,119,0.00025,0.03011477179825306,211
0.37,8.58,112,8,965,0.03984924623115582,119,0.00025,0.02228619158267975,216
0.37,8.58,116,8,985,0.019949748743718576,118,0.00025,0.022833455353975296,221
0.5,9.0,4,0,36,0.9641809045226131,444,0.00025,0.002087164204567671,225
0.5,10.0,8,0,80,0.9204020100502512,491,,,
0.4166666666666667,8.916666666666666,12,0,107,0.893537688442211,427,0.00025,0.015548281371593475,226
0.4375,9.1875,16,0,147,0.8537386934673367,247,0.00025,0.04436187073588371,236
0.45,9.25,20,0,185,0.815929648241206,198,0.00025,0.043865472078323364,246
0.375,8.541666666666666,24,1,205,0.7960301507537688,183,0.00025,0.021337077021598816,251
0.5357142857142857,10.035714285714286,28,1,281,0.7204120603015075,160,0.00025,0.021514005959033966,270
0.5,9.78125,32,2,313,0.6885728643216081,154,0.00025,0.01555578038096428,278
0.4444444444444444,9.25,36,2,333,0.6686733668341709,150,0.00025,0.015909109264612198,283
0.4,8.825,40,2,353,0.6487738693467336,147,0.00025,0.02741331048309803,288
0.36363636363636365,8.477272727272727,44,2,373,0.6288743718592965,144,0.00025,0.006839304231107235,293
0.3541666666666667,8.416666666666666,48,2,404,0.5980301507537689,141,0.00025,0.028596315532922745,300
0.34615384615384615,8.288461538461538,52,3,431,0.5711658291457286,138,0.00025,0.0005688567762263119,307
0.35714285714285715,8.375,56,3,469,0.5333567839195981,135,0.00025,0.026048734784126282,317
0.4,8.833333333333334,60,3,530,0.4726633165829145,132,0.00025,0.025454584509134293,332
0.390625,8.78125,64,4,562,0.440824120603015,131,0.00025,0.009784582071006298,340
0.4411764705882353,9.235294117647058,68,4,628,0.37515577889447227,129,0.00025,0.014986024238169193,356
0.4305555555555556,9.13888888888889,72,5,658,0.34530653266331657,127,0.00025,0.01026369258761406,364
0.4473684210526316,9.263157894736842,76,5,704,0.2995376884422112,126,0.00025,0.017704447731375694,375
0.4625,9.4875,80,6,759,0.24481407035175873,125,0.00025,0.01008478831499815,389
0.4523809523809524,9.416666666666666,84,6,791,0.21297487437185925,125,0.00025,0.020703589543700218,397
0.5227272727272727,10.011363636363637,88,7,881,0.12342713567839192,123,0.00025,0.03049073927104473,420
0.5217391304347826,10.0,92,7,920,0.08462311557788937,123,0.00025,0.01776997745037079,429
0.5,9.791666666666666,96,7,940,0.06472361809045224,122,0.00025,0.007302368525415659,434
0.5,9.78,100,8,978,0.02691457286432164,121,0.00025,0.009114008396863937,444
1.0,15.25,4,0,61,0.9393065326633167,525,0.00025,0.016089588403701782,450
0.625,11.375,8,0,91,0.9094572864321608,505,,,
0.4166666666666667,9.25,12,0,111,0.8895577889447236,390,0.00025,0.021470576524734497,452
0.5,10.1875,16,0,163,0.8378190954773869,222,0.00025,0.01808023266494274,465
0.45,9.75,20,1,195,0.8059798994974874,193,0.00025,0.016236042603850365,473
0.5833333333333334,10.833333333333334,24,1,260,0.7413065326633166,168,0.00025,0.010460865683853626,489
0.5,9.857142857142858,28,1,276,0.7253869346733668,163,0.00025,0.015510117635130882,493
0.46875,9.59375,32,1,307,0.6945427135678393,156,0.00025,0.01518813893198967,501
0.5,9.805555555555555,36,2,353,0.6487738693467336,148,0.00025,0.0068418956361711025,513
0.475,9.5,40,2,380,0.6219095477386936,146,0.00025,0.01791238971054554,519
0.45454545454545453,9.318181818181818,44,2,410,0.5920603015075377,142,0.00025,0.012631714344024658,527
0.4583333333333333,9.25,48,3,444,0.5582311557788946,140,0.00025,0.007834842428565025,535
0.46153846153846156,9.288461538461538,52,3,483,0.5194271356783919,137,0.00025,0.006364314816892147,545
0.4642857142857143,9.267857142857142,56,3,519,0.483608040201005,136,0.00025,0.004108086694031954,554
0.43333333333333335,8.983333333333333,60,4,539,0.46370854271356776,134,0.00025,0.004017363302409649,559
0.4375,9.015625,64,4,577,0.4258994974874373,132,0.00025,0.0017959659453481436,569
0.4411764705882353,8.926470588235293,68,4,607,0.39605025125628146,131,0.00025,0.010390445590019226,576
0.4305555555555556,8.86111111111111,72,4,638,0.3652060301507538,129,0.00025,0.03242606669664383,584
0.4342105263157895,8.921052631578947,76,5,678,0.3254070351758793,128,0.00025,0.008222009055316448,594
0.4375,8.925,80,5,714,0.2895879396984925,126,0.00025,0.00706598861142993,603
0.4166666666666667,8.738095238095237,84,5,734,0.26968844221105526,126,0.00025,0.009857265278697014,608
0.4090909090909091,8.647727272727273,88,6,761,0.24282412060301506,125,0.00025,0.010122355073690414,615
0.391304347826087,8.48913043478261,92,6,781,0.2229246231155778,124,0.00025,0.00992889329791069,620
0.3854166666666667,8.4375,96,6,810,0.19407035175879395,123,0.00025,0.015795506536960602,627
0.37,8.26,100,6,826,0.17815075376884426,123,0.00025,0.009008527733385563,631
0.34,7.92,104,6,853,0.15128643216080406,122,0.00025,0.017063366249203682,638
0.36,8.06,108,7,897,0.10750753768844223,120,0.00025,0.00700358347967267,649
0.38,8.24,112,7,935,0.06969849246231152,120,0.00025,0.005447810515761375,658
0.0,4.5,4,0,18,0.9820904522613065,349,0.00025,0.0035426304675638676,675
0.25,7.0,8,0,56,0.9442814070351758,428,,,
0.3333333333333333,7.666666666666667,12,0,92,0.908462311557789,470,,,
0.3125,7.5625,16,0,121,0.879608040201005,287,0.00025,0.006577339023351669,680
0.4,8.65,20,0,173,0.8278693467336683,194,0.00025,0.0037066093645989895,693
0.375,8.458333333333334,24,1,203,0.7980201005025125,174,0.00025,0.006018227431923151,700
0.35714285714285715,8.214285714285714,28,1,230,0.7711557788944724,161,0.00025,0.004074843600392342,707
0.375,8.375,32,1,268,0.7333467336683417,151,0.00025,0.00633210176602006,716
0.3333333333333333,8.0,36,1,288,0.7134472361809046,146,0.00025,0.0023271897807717323,721
0.35,8.2,40,2,328,0.6736482412060301,140,0.00025,0.012073555961251259,731
0.3409090909090909,8.181818181818182,44,2,360,0.6418090452261307,135,0.00025,0.001348767546005547,739
0.3125,7.916666666666667,48,2,380,0.6219095477386936,132,0.00025,0.004604391288012266,744
0.34615384615384615,8.384615384615385,52,3,436,0.5661909547738695,128,0.00025,0.019275013357400894,758
0.375,8.642857142857142,56,3,484,0.5184321608040201,125,0.00025,0.007967956364154816,770
0.35,8.4,60,4,504,0.49853266331658286,124,0.00025,0.004461843520402908,775
0.34375,8.296875,64,4,531,0.47166834170854277,122,0.00025,0.015491032041609287,782
0.3235294117647059,8.073529411764707,68,4,549,0.4537587939698492,121,0.00025,0.002724945545196533,787
0.3333333333333333,8.125,72,4,585,0.4179396984924624,120,0.00025,0.0023966531734913588,796
0.32894736842105265,8.052631578947368,76,5,612,0.3910753768844222,119,0.00025,0.0020066017750650644,802
0.325,8.0125,80,5,641,0.3622211055276382,118,0.00025,0.00947262067347765,810
0.32142857142857145,7.988095238095238,84,5,671,0.3323718592964824,117,0.00025,0.004609048366546631,817
0.3068181818181818,7.8522727272727275,88,5,691,0.31247236180904525,116,0.00025,0.0016111355507746339,822
0.30434782608695654,7.804347826086956,92,6,718,0.28560804020100505,116,0.00025,0.0011971225030720234,829
0.3333333333333333,8.114583333333334,96,6,779,0.2249145728643216,115,0.00025,0.005128479562699795,844
0.32,7.99,100,6,799,0.20501507537688446,114,0.00025,0.003996709827333689,849
0.36,8.41,104,7,859,0.14531658291457283,113,0.00025,0.010715736076235771,864
0.36,8.46,108,7,902,0.10253266331658295,113,0.00025,0.011451681144535542,875
0.35,8.39,112,8,931,0.07367839195979897,112,0.00025,0.006834035739302635,882
0.36,8.48,116,8,969,0.03586934673366837,112,0.00025,0.01031418889760971,892
0.0,5.0,4,0,20,0.9801005025125628,339,0.00025,0.0009011994698084891,900
0.25,7.0,8,0,56,0.9442814070351758,402,,,
0.25,6.75,12,0,81,0.9194070351758794,425,,,
0.25,6.875,16,0,110,0.8905527638190955,331,0.00025,0.0006315648788586259,902
0.3,7.55,20,0,151,0.8497587939698492,204,0.00025,0.0004329077492002398,912
0.2916666666666667,7.541666666666667,24,1,181,0.8199095477386934,174,0.00025,0.002770832972601056,920
0.2857142857142857,7.5,28,1,210,0.7910552763819095,159,0.00025,0.0019701533019542694,927
