time/total_timesteps,train/n_updates,train/loss,time/fps,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/learning_rate
369,67,2.7586629390716553,2044,-311.151883,0.632854271356784,4,0,92.25,0.001
715,153,3.9406609535217285,1931,-236.06046975,0.28859296482412067,8,0,89.375,0.001
411,302,1.9874686002731323,2465,-180.13224200000002,0.5910653266331658,4,0,102.75,0.001
575,568,3.4855828285217285,2267,-147.16426025,0.42788944723618094,4,0,143.75,0.001
406,751,0.6780651211738586,2371,-101.55998925,0.5960402010050251,4,0,101.5,0.001
430,982,0.6889129281044006,2505,-160.216933,0.5721608040201006,4,0,107.5,0.001
389,1197,2.035780429840088,2418,-132.08680275,0.6129547738693467,4,0,97.25,0.001
479,1444,4.454934120178223,2574,-172.7349505,0.5234070351758795,4,0,119.75,0.001
448,1661,0.4494463801383972,2300,-118.2245605,0.554251256281407,4,0,112.0,0.001
333,1858,0.5704936385154724,2543,-133.29727675,0.6686733668341709,4,0,83.25,0.001
324,2080,1.0632878541946411,2469,-171.73741925000002,0.6776281407035176,4,0,81.0,0.001
392,2322,0.6427948474884033,1943,-136.2066445,0.6099698492462311,4,0,98.0,0.001
341,2535,0.3926023840904236,2460,-90.6884435,0.660713567839196,4,0,85.25,0.001
334,2758,0.8623517155647278,2362,-185.049423,0.667678391959799,4,0,83.5,0.001
454,3013,2.092066764831543,2206,-166.16292125,0.5482814070351759,4,0,113.5,0.001
459,3239,1.1887325048446655,2452,-183.22822075,0.5433065326633164,4,0,114.75,0.001
683,3520,0.49953582882881165,2223,-113.191719,0.32043216080402004,4,0,170.75,0.001
428,3681,2.050725221633911,2556,-95.57522575,0.5741507537688443,4,0,107.0,0.001
456,3913,1.306016445159912,2461,-144.591371,0.5462914572864321,4,0,114.0,0.001
449,4137,0.5660744905471802,2044,-222.573854,0.5532562814070351,4,0,112.25,0.001
368,4341,0.580398440361023,2388,-85.6051435,0.6338492462311558,4,0,92.0,0.001
388,4571,0.43729570508003235,2282,-193.78581649999998,0.6139497487437185,4,0,97.0,0.001
473,4818,2.4014461040496826,2432,-178.23125599999997,0.5293768844221105,4,0,118.25,0.001
420,5029,0.5387427806854248,2466,-175.57051274999998,0.5821105527638191,4,0,105.0,0.001
459,5264,3.2114531993865967,2270,-73.97159250000001,0.5433065326633164,4,0,114.75,0.001
472,5492,2.3482818603515625,2467,-238.71888625,0.5303718592964825,4,0,118.0,0.001
455,5713,1.802295207977295,2270,-134.87993975,0.547286432160804,4,0,113.75,0.001
335,5908,0.7568640112876892,2648,-120.61157075,0.6666834170854272,4,0,83.75,0.001
584,6195,2.2215213775634766,2018,-204.35747975,0.4189346733668342,4,0,146.0,0.001
440,6384,0.5255064964294434,2412,-223.044902,0.5622110552763819,4,0,110.0,0.001
577,6644,0.7266153693199158,2169,-144.1217885,0.4258994974874373,4,0,144.25,0.001
465,6841,0.9870953559875488,2326,-177.6215445,0.5373366834170854,4,0,116.25,0.001
539,7084,2.1044695377349854,2176,-119.49126875000002,0.46370854271356776,4,0,134.75,0.001
405,7276,0.36773374676704407,2322,-127.56756625,0.597035175879397,4,0,101.25,0.001
384,7495,0.7682980895042419,2846,-82.839657,0.617929648241206,4,0,96.0,0.001
388,7721,1.6490976810455322,2446,-132.578605,0.6139497487437185,4,0,97.0,0.001
601,8000,0.7029422521591187,2342,-116.98494550000001,0.4020201005025126,4,0,150.25,0.001
464,8190,0.7134596109390259,2454,-107.63621325,0.5383316582914572,4,0,116.0,0.001
556,8438,1.0622583627700806,2135,-109.32924375,0.44679396984924624,4,0,139.0,0.001
367,8616,0.26830610632896423,2406,-102.79729375000001,0.6348442211055276,4,0,91.75,0.001
360,8839,2.4817957878112793,2281,-120.13146175,0.6418090452261307,4,0,90.0,0.001
424,9080,0.5178759098052979,2422,-131.699798,0.5781306532663317,4,0,106.0,0.001
401,9525,2.6906392574310303,2530,-136.24928925,0.6010150753768844,4,0,100.25,0.001
486,9771,2.2448770999908447,2255,-195.41966275,0.5164422110552764,4,0,121.5,0.001
370,9967,0.9700856804847717,2211,-193.514301,0.6318592964824121,4,0,92.5,0.001
401,10200,2.718930244445801,2669,-67.082465,0.6010150753768844,4,0,100.25,0.001
431,10432,0.40703028440475464,2359,-77.923342,0.5711658291457286,4,0,107.75,0.001
511,10677,0.6043052673339844,2155,-160.81434625,0.4915678391959799,4,0,127.75,0.001
393,10873,0.663901150226593,2530,-88.23425925000001,0.6089748743718593,4,0,98.25,0.001
534,11133,0.6153852939605713,2167,-94.7359385,0.46868341708542716,4,0,133.5,0.001
697,11399,2.4462850093841553,2207,-90.66671925,0.30650251256281413,4,0,174.25,0.001
474,11568,2.38384747505188,2343,-39.085621499999995,0.5283819095477387,4,0,118.5,0.001
343,11760,2.473400592803955,2692,-137.75294424999998,0.6587236180904523,4,0,85.75,0.001
587,12046,0.7921584844589233,2362,-75.65522050000001,0.4159497487437187,4,0,146.75,0.001
883,12345,0.9805212616920471,2025,-71.05872675,0.12143718592964825,4,0,220.75,0.001
412,12452,0.5937039852142334,2391,-107.11889724999999,0.5900703517587941,4,0,103.0,0.001
377,12669,0.43677568435668945,2387,-99.32574625,0.6248944723618091,4,0,94.25,0.001
453,12913,2.0764942169189453,2459,-60.7595755,0.5492763819095476,4,0,113.25,0.001
331,13107,1.6258232593536377,2498,-127.59706274999999,0.6706633165829146,4,0,82.75,0.001
467,13366,0.3485935926437378,2109,-112.00824725,0.5353467336683416,4,0,116.75,0.001
397,13799,0.40973278880119324,2561,-235.82538724999998,0.6049949748743719,4,0,99.25,0.001
517,14054,2.710531234741211,2300,-187.93429425000002,0.4855979899497488,4,0,129.25,0.001
449,14262,0.6142140626907349,2221,-90.81406449999999,0.5532562814070351,4,0,112.25,0.001
594,14523,1.2047406435012817,2246,-103.03432425,0.40898492462311564,4,0,148.5,0.001
424,14705,0.4094487726688385,2337,-93.97785875,0.5781306532663317,4,0,106.0,0.001
476,14943,0.6536622047424316,2213,-64.14927725000001,0.526391959798995,4,0,119.0,0.001
397,15149,0.2611119747161865,2368,-103.54880575,0.6049949748743719,4,0,99.25,0.001
365,15366,1.0792005062103271,2586,-130.16675475,0.6368341708542713,4,0,91.25,0.001
444,15610,0.7260977625846863,2333,-106.49603900000001,0.5582311557788946,4,0,111.0,0.001
322,15805,0.3911888003349304,2640,-117.77461725,0.6796180904522613,4,0,80.5,0.001
422,16055,2.240008592605591,2452,-156.72761799999998,0.5801206030150754,4,0,105.5,0.001
425,16281,0.35064586997032166,2477,-99.43892199999999,0.5771356783919598,4,0,106.25,0.001
390,16497,1.807313323020935,2442,-107.8090875,0.6119597989949749,4,0,97.5,0.001
337,16709,0.35465264320373535,2514,-119.74155975000001,0.6646934673366834,4,0,84.25,0.001
437,16959,4.155501365661621,2348,-118.18984675,0.5651959798994974,4,0,109.25,0.001
386,17171,0.5506826639175415,2427,-97.47420075,0.6159396984924623,4,0,96.5,0.001
470,17417,1.0773522853851318,2519,-67.393285,0.5323618090452261,4,0,117.5,0.001
990,17772,0.6545602083206177,1979,-24.352329999999995,0.014974874371859292,4,0,247.5,0.001
450,17862,2.354018211364746,2558,-208.24872000000002,0.5522613065326634,4,0,112.5,0.001
377,18069,1.113997459411621,2509,-94.5713185,0.6248944723618091,4,0,94.25,0.001
470,18317,0.9324374794960022,2124,-63.832805750000006,0.5323618090452261,4,0,117.5,0.001
450,18537,0.4353964924812317,2315,-67.49044,0.5522613065326634,4,0,112.5,0.001
486,18771,0.39948463439941406,2218,-199.62595199999998,0.5164422110552764,4,0,121.5,0.001
383,18970,0.3711604177951813,2796,-139.8252675,0.6189246231155778,4,0,95.75,0.001
459,19214,0.5964527726173401,2290,-89.55077075,0.5433065326633164,4,0,114.75,0.001
364,19415,0.3329941928386688,2607,-118.39641875000001,0.6378291457286431,4,0,91.0,0.001
493,19673,0.5026170015335083,2333,-138.86094225,0.5094773869346734,4,0,123.25,0.001
385,19871,0.27048003673553467,2241,-153.138166,0.6169346733668342,4,0,96.25,0.001
364,20090,2.4846913814544678,2462,-98.96033,0.6378291457286431,4,0,91.0,0.001
352,20312,0.510783851146698,2549,-76.812286,0.6497688442211056,4,0,88.0,0.001
521,20580,0.4735785126686096,2075,-50.78300974999999,0.48161809045226134,4,0,130.25,0.001
520,20804,1.7036317586898804,2404,-83.334305,0.4826130653266332,4,0,130.0,0.001
469,21017,5.368505477905273,2370,-113.92378025,0.5333567839195981,4,0,117.25,0.001
379,21219,2.4449574947357178,2465,-110.16254274999999,0.6229045226130654,4,0,94.75,0.001
325,21431,2.5354676246643066,2637,-78.84061625000001,0.6766331658291458,4,0,81.25,0.001
475,21693,0.28888770937919617,2301,-98.46868849999998,0.5273869346733668,4,0,118.75,0.001
829,22007,0.583314061164856,2052,-112.124701,0.17516582914572865,4,0,207.25,0.001
399,22124,0.22527965903282166,2141,-69.375528,0.603005025125628,4,0,99.75,0.001
339,22334,1.186039924621582,2334,-116.40146275000001,0.6627035175879397,4,0,84.75,0.001
354,22563,2.668840169906616,2473,-179.22256524999997,0.6477788944723618,4,0,88.5,0.001
549,22837,1.0983256101608276,2231,-85.16631174999999,0.4537587939698492,4,0,137.25,0.001
414,23028,0.7315768003463745,2441,-206.46095825,0.5880804020100503,4,0,103.5,0.001
423,23255,0.31288033723831177,2244,-106.78554325,0.5791256281407036,4,0,105.75,0.001
498,23499,0.422041654586792,2293,-88.3370495,0.504502512562814,4,0,124.5,0.001
342,23685,1.0015370845794678,2322,-81.00809299999999,0.6597185929648239,4,0,85.5,0.001
328,23906,0.7131752967834473,2782,-115.88559899999998,0.6736482412060301,4,0,82.0,0.001
448,24161,0.9216281175613403,2400,-92.77735000000001,0.554251256281407,4,0,112.0,0.001
496,24623,2.250657081604004,2227,-99.32036599999999,0.5064924623115579,4,0,124.0,0.001
925,24956,0.47362378239631653,1960,-105.44283899999999,0.07964824120603009,4,0,231.25,0.001
588,25096,0.36366069316864014,2205,-108.01237924999998,0.41495477386934676,4,0,147.0,0.001
386,25271,0.4999907314777374,2588,-72.002847,0.6159396984924623,4,0,96.5,0.001
339,25484,0.2854614853858948,2437,-133.73988875,0.6627035175879397,4,0,84.75,0.001
434,25733,1.8069396018981934,2298,-88.84507375000001,0.5681809045226132,4,0,108.5,0.001
332,25932,0.4826883375644684,2311,-93.18540075,0.6696683417085426,4,0,83.0,0.001
462,26190,0.29241299629211426,2281,-87.49122925,0.5403216080402011,4,0,115.5,0.001
441,26410,3.041569471359253,2188,-69.40533350000001,0.56121608040201,4,0,110.25,0.001
402,26625,0.22943782806396484,2386,-134.62685150000001,0.6000201005025125,4,0,100.5,0.001
415,26853,0.27181199193000793,2456,-171.27459975,0.5870854271356784,4,0,103.75,0.001
416,27078,0.8362324833869934,2353,-122.009433,0.5860904522613066,4,0,104.0,0.001
359,27289,1.9104558229446411,2620,-118.96929450000002,0.6428040201005025,4,0,89.75,0.001
401,27525,1.921545147895813,2394,-76.85844449999999,0.6010150753768844,4,0,100.25,0.001
471,27767,0.718251645565033,2297,-68.98690825,0.5313668341708543,4,0,117.75,0.001
456,27988,0.7483319044113159,2353,-67.467808,0.5462914572864321,4,0,114.0,0.001
357,28189,0.5587208271026611,2536,-122.85300275,0.6447939698492462,4,0,89.25,0.001
353,28413,0.6235257387161255,2541,-113.44678300000001,0.6487738693467336,4,0,88.25,0.001
400,28649,0.5089994072914124,2152,-91.8262765,0.6020100502512562,4,0,100.0,0.001
436,28883,0.7330818176269531,2164,-118.2873245,0.5661909547738695,4,0,109.0,0.001
443,29110,1.6798686981201172,2384,-187.02141675,0.5592261306532662,4,0,110.75,0.001
405,29326,0.9767848253250122,2437,-95.43067025,0.597035175879397,4,0,101.25,0.001
387,29546,0.4706539511680603,2524,-91.43085825,0.6149447236180905,4,0,96.75,0.001
428,29781,3.5893819332122803,2301,-107.1410085,0.5741507537688443,4,0,107.0,0.001
464,30015,1.890182614326477,1870,-157.57164625000001,0.5383316582914572,4,0,116.0,0.001
426,30231,0.32632237672805786,2234,-138.622389,0.5761407035175881,4,0,106.5,0.001
444,30460,0.9441971182823181,2608,-147.72606150000001,0.5582311557788946,4,0,111.0,0.001
456,30688,0.8715585470199585,2301,-60.60465975,0.5462914572864321,4,0,114.0,0.001
354,30888,2.2511961460113525,2437,-45.39470850000001,0.6477788944723618,4,0,88.5,0.001
451,31137,1.1295232772827148,2411,-113.197104,0.5512663316582914,4,0,112.75,0.001
507,31376,2.4312148094177246,2116,-140.56940974999998,0.49554773869346735,4,0,126.75,0.001
302,31550,0.9256814122200012,2230,-87.6321915,0.6995175879396984,4,0,75.5,0.001
429,31807,0.7026308178901672,2166,-63.881983749999996,0.5731557788944723,4,0,107.25,0.001
406,32026,0.30525851249694824,2359,-112.04475525,0.5960402010050251,4,0,101.5,0.001
407,32251,0.789734423160553,2357,-86.05005650000001,0.5950452261306532,4,0,101.75,0.001
356,32463,2.5591325759887695,2463,-128.53043275,0.645788944723618,4,0,89.0,0.001
461,32715,0.45998868346214294,2149,-127.24083625,0.5413165829145727,4,0,115.25,0.001
308,32901,0.9822983741760254,2382,-72.430988,0.6935477386934673,4,0,77.0,0.001
456,33163,1.7369574308395386,2223,-63.04961324999999,0.5462914572864321,4,0,114.0,0.001
431,33382,0.9296879768371582,2392,-117.07805975000001,0.5711658291457286,4,0,107.75,0.001
376,33593,0.32730916142463684,2701,-96.41463025,0.6258894472361809,4,0,94.0,0.001
386,33821,0.48457419872283936,2274,-86.12923125,0.6159396984924623,4,0,96.5,0.001
467,34066,0.6007511019706726,2137,-62.631737,0.5353467336683416,4,0,116.75,0.001
432,34282,0.6598698496818542,2366,-106.660439,0.5701708542713568,4,0,108.0,0.001
397,34499,0.4052361845970154,2652,-67.38543924999999,0.6049949748743719,4,0,99.25,0.001
330,34707,0.4431283473968506,2311,-112.495308,0.6716582914572864,4,0,82.5,0.001
504,34975,0.8256402611732483,2311,-91.0572915,0.49853266331658286,4,0,126.0,0.001
417,35179,0.3291037380695343,2207,-92.857508,0.5850954773869346,4,0,104.25,0.001
311,35377,0.37114015221595764,2518,-115.29322825,0.6905628140703518,4,0,77.75,0.001
314,35603,3.554530382156372,2450,-95.870884,0.6875778894472361,4,0,78.5,0.001
337,35834,1.4959652423858643,2433,-123.62722425,0.6646934673366834,4,0,84.25,0.001
455,36088,0.6418898105621338,2515,-115.37583075,0.547286432160804,4,0,113.75,0.001
318,36279,0.7224538326263428,2548,-144.38170925,0.6835979899497486,4,0,79.5,0.001
352,36512,0.3187263011932373,2420,-83.30291225,0.6497688442211056,4,0,88.0,0.001
398,36749,1.3697459697723389,2351,-107.87391099999999,0.604,4,0,99.5,0.001
338,36959,2.8405187129974365,2513,-127.97475449999999,0.6636984924623115,4,0,84.5,0.001
367,37191,1.1165114641189575,2534,-43.45739225,0.6348442211055276,4,0,91.75,0.001
432,37432,0.24587202072143555,2428,-139.533984,0.5701708542713568,4,0,108.0,0.001
324,37630,0.7036395072937012,2436,-49.49071325,0.6776281407035176,4,0,81.0,0.001
362,37865,1.1863877773284912,2282,-69.22048525,0.639819095477387,4,0,90.5,0.001
399,38099,0.41910427808761597,2392,-123.79650850000002,0.603005025125628,4,0,99.75,0.001
377,38319,1.1710667610168457,2386,-97.13957900000001,0.6248944723618091,4,0,94.25,0.001
445,38786,2.6247034072875977,2542,-70.67269225,0.5572361809045225,4,0,111.25,0.001
417,39004,0.5038760304450989,2244,-93.00762499999999,0.5850954773869346,4,0,104.25,0.001
371,39217,0.7885614037513733,2076,-101.35669250000001,0.6308643216080402,4,0,92.75,0.001
449,39462,1.0458612442016602,2417,-140.23684475,0.5532562814070351,4,0,112.25,0.001
366,39666,1.2223747968673706,2455,-96.4185395,0.6358391959798995,4,0,91.5,0.001
340,39884,1.0272936820983887,2747,-103.08607225,0.6617085427135678,4,0,85.0,0.001
887,40021,1.9027602672576904,1956,-74.552627625,0.1174572864321608,8,0,110.875,0.001
381,40120,2.293689250946045,2421,-83.7164795,0.6209145728643215,4,0,95.25,0.001
361,40340,1.4455466270446777,2262,-102.85779275000002,0.6408140703517589,4,0,90.25,0.001
419,40579,1.2976120710372925,2136,-90.06061,0.5831055276381909,4,0,104.75,0.001
311,40777,0.5826918482780457,2498,-92.114238,0.6905628140703518,4,0,77.75,0.001
326,41006,0.7643163204193115,2443,-105.75727775000001,0.6756381909547737,4,0,81.5,0.001
428,41256,2.290454864501953,2525,-114.008299,0.5741507537688443,4,0,107.0,0.001
425,41481,1.7622830867767334,2313,-92.02028625,0.5771356783919598,4,0,106.25,0.001
429,41707,3.306997299194336,2454,-163.55689275,0.5731557788944723,4,0,107.25,0.001
370,41917,0.5504713654518127,2414,-126.26745200000002,0.6318592964824121,4,0,92.5,0.001
372,42142,1.3130364418029785,2402,-84.6452555,0.6298693467336683,4,0,93.0,0.001
401,42375,0.34199580550193787,2409,-95.211213,0.6010150753768844,4,0,100.25,0.001
372,42592,0.42142030596733093,2387,-142.7006725,0.6298693467336683,4,0,93.0,0.001
416,42828,0.8804782629013062,2448,-204.62061774999998,0.5860904522613066,4,0,104.0,0.001
330,43032,0.7650048136711121,2592,-95.25064599999999,0.6716582914572864,4,0,82.5,0.001
455,43288,0.39090150594711304,2255,-92.38764724999999,0.547286432160804,4,0,113.75,0.001
399,43499,2.0493240356445312,2152,-138.087254,0.603005025125628,4,0,99.75,0.001
400,43724,0.642920970916748,2312,-78.66183600000001,0.6020100502512562,4,0,100.0,0.001
440,43959,1.2373671531677246,1923,-77.152867,0.5622110552763819,4,0,110.0,0.001
461,44190,0.8457875847816467,2529,-126.148837,0.5413165829145727,4,0,115.25,0.001
359,44389,1.2552365064620972,2809,-103.2917395,0.6428040201005025,4,0,89.75,0.001
329,44607,0.3777909576892853,2721,-98.76846025,0.6726532663316583,4,0,82.25,0.001
428,44856,0.41965022683143616,2503,-135.53341325,0.5741507537688443,4,0,107.0,0.001
391,45072,0.5998188257217407,2541,-91.953267,0.610964824120603,4,0,97.75,0.001
438,45309,1.9957541227340698,2583,-79.3644525,0.5642010050251256,4,0,109.5,0.001
419,45529,0.6322242617607117,2266,-89.58010675,0.5831055276381909,4,0,104.75,0.001
407,45751,0.8984881639480591,2250,-82.27147325,0.5950452261306532,4,0,101.75,0.001
348,45961,3.8813865184783936,2356,-117.12834175,0.6537487437185929,4,0,87.0,0.001
319,46179,2.0405633449554443,2992,-79.96118775,0.682603015075377,4,0,79.75,0.001
511,46452,1.901698112487793,2248,-107.581676,0.4915678391959799,4,0,127.75,0.001
319,46629,1.5945086479187012,2618,-108.11446124999999,0.682603015075377,4,0,79.75,0.001
368,46866,1.1191233396530151,2454,-103.6486145,0.6338492462311558,4,0,92.0,0.001
369,47092,1.0861592292785645,2436,-87.56241550000001,0.632854271356784,4,0,92.25,0.001
469,47342,0.6346330642700195,2332,-121.10778549999999,0.5333567839195981,4,0,117.25,0.001
326,47531,0.7039188742637634,2396,-99.96216749999999,0.6756381909547737,4,0,81.5,0.001
335,47758,3.4783451557159424,2472,-162.86432599999998,0.6666834170854272,4,0,83.75,0.001
404,48000,2.7108747959136963,2641,-192.49549375,0.5980301507537689,4,0,101.0,0.001
401,48225,0.7117950916290283,2530,-90.255351,0.6010150753768844,4,0,100.25,0.001
369,48442,0.2788897752761841,2775,-68.01989,0.632854271356784,4,0,92.25,0.001
405,48676,3.1595163345336914,2162,-98.18007874999999,0.597035175879397,4,0,101.25,0.001
405,48901,1.3579219579696655,2485,-94.0385045,0.597035175879397,4,0,101.25,0.001
500,49149,0.6307863593101501,2176,-101.9122495,0.5025125628140703,4,0,125.0,0.001
369,49342,0.4735002815723419,2635,-91.37421375,0.632854271356784,4,0,92.25,0.001
351,49562,0.49034184217453003,2410,-151.06144675,0.6507638190954774,4,0,87.75,0.001
439,49809,2.6663975715637207,2290,-123.945942,0.5632060301507538,4,0,109.75,0.001
309,50002,0.4663395285606384,2398,-120.04632674999999,0.6925527638190956,4,0,77.25,0.001
989,50172,0.670932948589325,1980,-52.548875125,0.015969849246231127,8,0,123.625,0.001
375,50243,0.4184038043022156,2442,-151.4262195,0.6268844221105527,4,0,93.75,0.001
376,50468,0.7683089375495911,2491,-86.82378175,0.6258894472361809,4,0,94.0,0.001
453,50713,0.7320599555969238,2252,-99.76046975,0.5492763819095476,4,0,113.25,0.001
336,50908,0.8297688961029053,2617,-151.06214024999997,0.6656884422110552,4,0,84.0,0.001
398,51149,0.6141205430030823,2346,-88.438023,0.604,4,0,99.5,0.001
370,51367,0.35951781272888184,2574,-86.94262575,0.6318592964824121,4,0,92.5,0.001
469,51617,0.30687180161476135,2268,-21.002940499999998,0.5333567839195981,4,0,117.25,0.001
416,51828,3.1301474571228027,2407,-91.26818300000002,0.5860904522613066,4,0,104.0,0.001
412,52052,0.8547850847244263,2406,-81.62704775,0.5900703517587941,4,0,103.0,0.001
333,52258,0.6217577457427979,2600,-50.264439749999994,0.6686733668341709,4,0,83.25,0.001
376,52493,0.3499813973903656,2776,-118.0151775,0.6258894472361809,4,0,94.0,0.001
944,52635,0.32093876600265503,2093,-74.69795475,0.0607437185929649,8,0,118.0,0.001
302,52700,1.0450239181518555,2568,-114.36645675,0.6995175879396984,4,0,75.5,0.001
323,52930,0.7773882150650024,2612,-138.12091725,0.6786231155778895,4,0,80.75,0.001
351,53162,2.0521740913391113,2594,-98.2752525,0.6507638190954774,4,0,87.75,0.001
368,53391,1.1121960878372192,2432,-117.32283975,0.6338492462311558,4,0,92.0,0.001
306,53601,0.7359150052070618,2733,-85.3024015,0.6955376884422111,4,0,76.5,0.001
401,53850,2.8268251419067383,2241,-117.66148,0.6010150753768844,4,0,100.25,0.001
454,54088,0.955114483833313,2251,-105.07019675000001,0.5482814070351759,4,0,113.5,0.001
445,54311,0.29084786772727966,2351,-72.606176,0.5572361809045225,4,0,111.25,0.001
389,54522,2.914017677307129,2557,-109.71923575,0.6129547738693467,4,0,97.25,0.001
349,54737,1.3517613410949707,2486,-122.90107150000001,0.6527537688442211,4,0,87.25,0.001
371,54967,0.44832271337509155,2448,-115.72099825000001,0.6308643216080402,4,0,92.75,0.001
323,55180,1.926372766494751,2318,-176.59150175,0.6786231155778895,4,0,80.75,0.001
340,55409,0.6179489493370056,2428,-82.519966,0.6617085427135678,4,0,85.0,0.001
404,55650,0.938585638999939,2504,-62.9949405,0.5980301507537689,4,0,101.0,0.001
360,55864,1.3196481466293335,2627,-83.95368325,0.6418090452261307,4,0,90.0,0.001
372,56092,0.5326950550079346,2277,-55.9166785,0.6298693467336683,4,0,93.0,0.001
370,56317,1.534549355506897,1996,-132.015096,0.6318592964824121,4,0,92.5,0.001
383,56545,2.222733736038208,2416,-94.0257455,0.6189246231155778,4,0,95.75,0.001
436,56783,0.8304646015167236,2602,-91.784318,0.5661909547738695,4,0,109.0,0.001
396,56998,0.29882827401161194,2677,-118.36562824999999,0.6059899497487438,4,0,99.0,0.001
